Matchday,Date,H/A,Club,Club Pos.,Opponent,Opponent.1,Result,Pos.,Goals,Assists,Yellows,2nd Yellows,Reds,Minutes,Unnamed: 15,Unnamed: 16,Unnamed: 17,Player
1,,,,,,,,,,,,,,26',,,,Christian Eriksen
2,,,,,,,,,,,,,,90',,,,Christian Eriksen
3,,,,,,,,,,,,,,28',,,,Christian Eriksen
4,,,,,,,,,,,,,,90',,,,Christian Eriksen
5,,,,,,,,,,,,,,90',,,,Christian Eriksen
6,,,,,,,,,,,,,,11',,,,Christian Eriksen
7,,,,,,,,,,,,,,90',,,,Christian Eriksen
8,,,,,,,,,,,,,,90',,,,Christian Eriksen
9,,,,,,,,,,,,,,,,,,Christian Eriksen
10,,,,,,,,,,,,,,88',,,,Christian Eriksen
11,,,,,,,,,,,,,,90',,,,Christian Eriksen
12,,,,,,,,,,,,,,,,,,Christian Eriksen
13,,,,,,,,,,,,,,11',,,,Christian Eriksen
14,,,,,,,,,,,,,,,,,,Christian Eriksen
15,,,,,,,,,,,,,,26',,,,Christian Eriksen
16,,,,,,,,,,,,,,,,,,Christian Eriksen
17,,,,,,,,,,,,,,1',,,,Christian Eriksen
18,,,,,,,,,,,,,,45',,,,Christian Eriksen
19,,,,,,,,,,,,,,22',,,,Christian Eriksen
20,,,,,,,,,,,,,,90',,,,Christian Eriksen
21,,,,,,,,,,,,,,90',,,,Christian Eriksen
22,,,,,,,,,,,,,,69',,,,Christian Eriksen
23,,,,,,,,,,,,,,17',,,,Christian Eriksen
24,,,,,,,,,,,,,,28',,,,Christian Eriksen
25,,,,,,,,,,,,,,,,,,Christian Eriksen
